timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1258410001760,-0.0257114,0.00841329,-0.00444902,-0.0360927,0.028377,-0.0822322,0.851689,-0.838478,3.6393,0.991813,0.123428,0.0310282,-0.0107316,-0.0211758,0.00061588,0.209705,0.0068035,-0.0116961,0.428308,0,0,0,0.00177808,-0.00128157,0.0596009,1
1258430015296,-0.0271701,0.0128801,-0.00168901,-0.040533,0.0490552,-0.0411423,-0.398777,0.0321937,-0.3824,0.991701,0.124022,0.0324024,-0.00987675,-0.0211758,0.00061588,0.209705,0.00899149,-0.0183963,0.422788,0,0,0,0.00198302,-0.00147302,0.0644793,1
1258450030016,-0.0281447,0.0140429,-0.00267547,-0.0451494,0.0469099,-0.031853,-2.0109,-0.123514,2.54356,0.991676,0.123958,0.0334801,-0.00970383,-0.0211758,0.00061588,0.209705,0.0104534,-0.0201405,0.424761,0,0,0,0.00212205,-0.00166237,0.067084,1
1258470012224,-0.0288126,0.0147215,-0.00303016,-0.0663702,0.0663999,-0.027372,-1.53252,3.37793,-1.79534,0.991648,0.124018,0.0340022,-0.00991858,-0.0211758,0.00061588,0.209705,0.0114552,-0.0211584,0.42547,0,0,0,0.00239024,-0.00198577,0.0714887,1
1258490006176,-0.0304524,0.0167602,-0.00381438,-0.0647864,0.0851489,-0.0312083,-1.64609,-0.174974,-0.519881,0.991598,0.124026,0.0349308,-0.0115952,-0.0211758,0.00061588,0.209705,0.013915,-0.0242164,0.427039,0,0,0,0.00257667,-0.00219552,0.0736583,1
1258510001728,-0.0305114,0.0187142,-0.000530721,-0.0631984,0.0958803,0.0101192,-1.32892,1.47528,-1.12071,0.991753,0.122305,0.0358208,-0.0137863,-0.0211758,0.00061588,0.209705,0.0140034,-0.0271475,0.420471,0,0,0,0.00297134,-0.00274396,0.0782543,1
1258530018400,-0.0313298,0.0199107,-0.000429707,-0.0735849,0.10408,0.00676288,-0.406919,-0.1049,0.559784,0.991832,0.121628,0.0359599,-0.0137734,-0.0211758,0.00061588,0.209705,0.0152311,-0.0289422,0.420269,0,0,0,0.0033397,-0.00333097,0.0821702,1
1258549998560,-0.0334777,0.0228189,-7.06218e-05,-0.0861331,0.113983,0.0177495,-1.01444,1.26246,0.000178807,0.991949,0.120648,0.035905,-0.0140944,-0.0211758,0.00061588,0.209705,0.0184529,-0.0333045,0.419551,0,0,0,0.00355227,-0.00364935,0.0841496,1
1258570004128,-0.0307892,0.0204432,-0.00150207,-0.0441645,0.0621114,0.0274846,2.7851,-4.76779,2.21789,0.992004,0.120321,0.0358098,-0.0131462,-0.0211758,0.00061588,0.209705,0.0144201,-0.029741,0.422414,0,0,0,0.00412202,-0.00445173,0.0885273,1
1258590011168,-0.0316517,0.0215346,-0.000544809,-0.0366423,0.045184,0.0520958,0.662931,-0.321945,1.0456,0.99213,0.119324,0.0354923,-0.0135612,-0.0211758,0.00061588,0.209705,0.0157138,-0.0313781,0.420499,0,0,0,0.0042679,-0.00468045,0.0904941,1
1258609999296,-0.0328652,0.0228365,0.000713969,-0.0485272,0.04168,0.0399413,1.81933,-2.89335,0.934709,0.992289,0.118226,0.0349885,-0.012916,-0.0211758,0.00061588,0.209705,0.0175341,-0.033331,0.417982,0,0,0,0.00450961,-0.00503391,0.0938957,1
1258630074976,-0.0314835,0.0220603,0.00236868,-0.0208213,0.0128173,0.0587791,0.253119,-0.710144,0.850775,0.992422,0.117805,0.0334718,-0.0101875,-0.0211758,0.00061588,0.209705,0.0154616,-0.0321666,0.414672,0,0,0,0.00486955,-0.00544261,0.0980152,1
1258650010912,-0.0318779,0.0221368,0.00395799,-0.0138826,-0.0039767,0.0709267,-0.404256,0.11791,0.134601,0.992452,0.117594,0.0333715,-0.0100263,-0.0211758,0.00061588,0.209705,0.0160532,-0.0322813,0.411494,0,0,0,0.00495663,-0.00555057,0.0997235,1
1258669997760,-0.032221,0.0219641,0.00574632,-0.0202336,-0.00915817,0.0837571,-2.28249,0.511664,2.24288,0.992416,0.117906,0.0334121,-0.009744,-0.0211758,0.00061588,0.209705,0.0165678,-0.0320223,0.407917,0,0,0,0.00510095,-0.00568703,0.103007,1
1258690011328,-0.0326461,0.0219334,0.00714099,-0.0367468,0.00504069,0.103165,0.0692833,1.39135,0.358221,0.992387,0.118139,0.0333101,-0.0102192,-0.0211758,0.00061588,0.209705,0.0172055,-0.0319762,0.405128,0,0,0,0.00527843,-0.00579729,0.106134,1
