timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ext_fl_acc(0),ext_fl_acc(1),ext_fl_acc(2)
1695201699708930592,0.606042,-1.80663,-0.0596866,-0.00672354,0.00979698,-0.0404996,-0.0762514,0.0700181,0.00535079,0.720848,0.00454175,-0.00330434,-0.693071,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0282278,-0.00737642,-0.36527
1695201699719049184,0.606042,-1.80663,-0.0596866,-0.00672354,0.00979698,-0.0404996,-0.0762514,0.0700181,0.00535079,0.720848,0.00454175,-0.00330434,-0.693071,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0340578,-0.00450811,-0.384773
1695201699728999968,0.606042,-1.80663,-0.0596866,-0.00672354,0.00979698,-0.0404996,-0.0762514,0.0700181,0.00535079,0.720848,0.00454175,-0.00330434,-0.693071,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0396414,-0.0018959,-0.404374
1695201699738999200,0.606042,-1.80663,-0.0596866,-0.00672354,0.00979698,-0.0404996,-0.0762514,0.0700181,0.00535079,0.720848,0.00454175,-0.00330434,-0.693071,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0449767,0.000468909,-0.424067
1695201699749205760,0.605035,-1.80592,-0.0635842,-0.0153276,0.0136407,-0.122015,-0.0460882,0.363166,-0.101157,0.719949,0.00703979,0.00584137,-0.693967,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0486246,0.00202989,-0.445244
1695201699759041248,0.605035,-1.80592,-0.0635842,-0.0153276,0.0136407,-0.122015,-0.0460882,0.363166,-0.101157,0.719949,0.00703979,0.00584137,-0.693967,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0520788,0.00328616,-0.466398
1695201699768860736,0.605035,-1.80592,-0.0635842,-0.0153276,0.0136407,-0.122015,-0.0460882,0.363166,-0.101157,0.719949,0.00703979,0.00584137,-0.693967,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0551724,0.00421321,-0.487671
1695201699778687296,0.605035,-1.80592,-0.0635842,-0.0153276,0.0136407,-0.122015,-0.0460882,0.363166,-0.101157,0.719949,0.00703979,0.00584137,-0.693967,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0579368,0.00484408,-0.509046
1695201699788767744,0.605035,-1.80592,-0.0635842,-0.0153276,0.0136407,-0.122015,-0.0460882,0.363166,-0.101157,0.719949,0.00703979,0.00584137,-0.693967,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.060401,0.00520849,-0.53051
1695201699798774432,0.603402,-1.80537,-0.0718416,-0.027705,0.0109336,-0.209993,-0.00638398,0.190449,0.0374557,0.719943,0.0120012,0.0101305,-0.693856,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0630761,0.00503546,-0.553603
1695201699808799424,0.603402,-1.80537,-0.0718416,-0.027705,0.0109336,-0.209993,-0.00638398,0.190449,0.0374557,0.719943,0.0120012,0.0101305,-0.693856,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0655571,0.00462947,-0.576684
1695201699818779808,0.603402,-1.80537,-0.0718416,-0.027705,0.0109336,-0.209993,-0.00638398,0.190449,0.0374557,0.719943,0.0120012,0.0101305,-0.693856,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0677831,0.00404901,-0.599951
1695201699828842816,0.603402,-1.80537,-0.0718416,-0.027705,0.0109336,-0.209993,-0.00638398,0.190449,0.0374557,0.719943,0.0120012,0.0101305,-0.693856,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0697793,0.00331338,-0.623396
1695201699839057248,0.601865,-1.80464,-0.0840286,-0.0280832,0.0205277,-0.255221,0.39959,0.019522,0.0963282,0.720624,0.021412,0.00570988,-0.692972,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0714059,0.00329878,-0.648085
1695201699849014624,0.601865,-1.80464,-0.0840286,-0.0280832,0.0205277,-0.255221,0.39959,0.019522,0.0963282,0.720624,0.021412,0.00570988,-0.692972,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0729829,0.00307139,-0.672895
1695201699860803200,0.601865,-1.80464,-0.0840286,-0.0280832,0.0205277,-0.255221,0.39959,0.019522,0.0963282,0.720624,0.021412,0.00570988,-0.692972,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0744841,0.0026713,-0.697971
