timestamp,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,est_qw,est_qx,est_qy,est_qz,des_px,des_py,des_pz,des_vx,des_vy,des_vz,des_ax,des_ay,des_az,disturb_x,disturb_y,disturb_z
1695216170743322400,-0.00823989,-0.00766661,-0.06603,-0.0437083,0.0321996,-0.238173,-0.23099,0.509315,0.0708402,0.704674,0.0127571,-0.00753575,-0.709376,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.119375,0.052816,-0.34395
1695216170753306528,-0.00823989,-0.00766661,-0.06603,-0.0437083,0.0321996,-0.238173,-0.23099,0.509315,0.0708402,0.704674,0.0127571,-0.00753575,-0.709376,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.12441,0.0562203,-0.367879
1695216170763350816,-0.00823989,-0.00766661,-0.06603,-0.0437083,0.0321996,-0.238173,-0.23099,0.509315,0.0708402,0.704674,0.0127571,-0.00753575,-0.709376,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.129146,0.0592978,-0.392075
1695216170773439296,-0.00823989,-0.00766661,-0.06603,-0.0437083,0.0321996,-0.238173,-0.23099,0.509315,0.0708402,0.704674,0.0127571,-0.00753575,-0.709376,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.133605,0.0620737,-0.416519
1695216170783427520,-0.0103767,-0.00596539,-0.0766348,-0.0544785,0.0444505,-0.272965,0.163405,0.185909,0.0833703,0.705343,0.0171644,-0.00325328,-0.708651,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.138298,0.0652846,-0.442042
1695216170795641344,-0.0103767,-0.00596539,-0.0766348,-0.0544785,0.0444505,-0.272965,0.163405,0.185909,0.0833703,0.705343,0.0171644,-0.00325328,-0.708651,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.142742,0.0681524,-0.467755
1695216170803215872,-0.0103767,-0.00596539,-0.0766348,-0.0544785,0.0444505,-0.272965,0.163405,0.185909,0.0833703,0.705343,0.0171644,-0.00325328,-0.708651,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.146909,0.0706864,-0.493785
1695216170815620672,-0.0103767,-0.00596539,-0.0766348,-0.0544785,0.0444505,-0.272965,0.163405,0.185909,0.0833703,0.705343,0.0171644,-0.00325328,-0.708651,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.150819,0.0729124,-0.520115
1695216170823883584,-0.0132529,-0.00332953,-0.0883408,-0.0754349,0.0709073,-0.273367,0.0360078,0.294882,0.0648995,0.706138,0.0238215,-0.00116512,-0.707673,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.155884,0.0766408,-0.546505
1695216170833388096,-0.0132529,-0.00332953,-0.0883408,-0.0754349,0.0709073,-0.273367,0.0360078,0.294882,0.0648995,0.706138,0.0238215,-0.00116512,-0.707673,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.160669,0.079941,-0.573203
1695216170843656544,-0.0132529,-0.00332953,-0.0883408,-0.0754349,0.0709073,-0.273367,0.0360078,0.294882,0.0648995,0.706138,0.0238215,-0.00116512,-0.707673,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.165175,0.0828398,-0.600243
1695216170853475648,-0.0132529,-0.00332953,-0.0883408,-0.0754349,0.0709073,-0.273367,0.0360078,0.294882,0.0648995,0.706138,0.0238215,-0.00116512,-0.707673,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.169421,0.0853665,-0.627605
1695216170863495424,-0.0132529,-0.00332953,-0.0883408,-0.0754349,0.0709073,-0.273367,0.0360078,0.294882,0.0648995,0.706138,0.0238215,-0.00116512,-0.707673,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.173423,0.0875478,-0.655272
1695216170873453056,-0.0177388,0.000927866,-0.103247,-0.0875593,0.0784102,-0.254815,0.194475,-0.191426,0.0936186,0.707373,0.0258086,-0.000585939,-0.706369,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.178074,0.0899423,-0.682541
1695216170883516192,-0.0177388,0.000927866,-0.103247,-0.0875593,0.0784102,-0.254815,0.194475,-0.191426,0.0936186,0.707373,0.0258086,-0.000585939,-0.706369,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.182454,0.0919832,-0.710122
1695216170893273088,-0.0177388,0.000927866,-0.103247,-0.0875593,0.0784102,-0.254815,0.194475,-0.191426,0.0936186,0.707373,0.0258086,-0.000585939,-0.706369,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.186579,0.0936957,-0.738008
1695216170903230304,-0.0177388,0.000927866,-0.103247,-0.0875593,0.0784102,-0.254815,0.194475,-0.191426,0.0936186,0.707373,0.0258086,-0.000585939,-0.706369,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.190465,0.0951033,-0.766184
1695216170913517280,-0.0218898,0.00470926,-0.114806,-0.0986446,0.079078,-0.236228,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.194919,0.0962929,-0.793966
1695216170923346368,-0.0230157,0.00566646,-0.117633,-0.102797,0.0783185,-0.212132,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.19956,0.0972969,-0.821232
1695216170933397696,-0.0242065,0.00665411,-0.120196,-0.108654,0.0853417,-0.195185,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.204452,0.0986338,-0.848212
1695216170943546016,-0.0242065,0.00665411,-0.120196,-0.108654,0.0853417,-0.195185,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.20911,0.0997925,-0.875432
1695216170953283328,-0.0242065,0.00665411,-0.120196,-0.108654,0.0853417,-0.195185,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.21356,0.100786,-0.902841
1695216170966316960,-0.0242065,0.00665411,-0.120196,-0.108654,0.0853417,-0.195185,0.21238,-0.593427,0.0550224,0.70851,0.0211322,-0.0163577,-0.705194,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.217812,0.101625,-0.930427
