timestamp,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,est_qw,est_qx,est_qy,est_qz,des_px,des_py,des_pz,des_vx,des_vy,des_vz,des_ax,des_ay,des_az,int_x,int_y,int_z,ref_mask
1695219469018632224,-0.00801636,-0.00803484,-0.0616585,-0.0175137,0.0387891,-0.18308,-0.28642,0.0858563,-0.835172,0.706747,0.0080637,-0.0156032,-0.707248,-0.00735736,-0.0104812,-0.0942539,0.000790798,-0.0036696,-0.0488931,0,0,0,0.000301768,-0.000717597,0.00404854,1
1695219469028955072,-0.0100457,-0.0056828,-0.0745319,-0.0574848,0.057486,-0.316812,-0.381298,0.181482,-2.87547,0.709325,0.015046,-0.00583294,-0.704696,-0.00735736,-0.0104812,-0.0942539,0.00322603,-0.00719765,-0.029583,0,0,0,0.000301768,-0.000717597,0.00404854,1
1695219469038616608,-0.0100457,-0.0056828,-0.0745319,-0.0574848,0.057486,-0.316812,-0.381298,0.181482,-2.87547,0.709325,0.015046,-0.00583294,-0.704696,-0.00735736,-0.0104812,-0.0942539,0.00322603,-0.00719765,-0.029583,0,0,0,0.000913664,-0.00136954,0.00839095,1
1695219469048584832,-0.0106719,-0.0050706,-0.0779333,-0.0641367,0.0616937,-0.343927,-1.12528,0.202996,-2.04765,0.709833,0.0158605,-0.002926,-0.704185,-0.00735736,-0.0104812,-0.134254,0.00397745,-0.00811596,-0.0844808,0,0,0,0.000913664,-0.00136954,0.00839095,1
1695219469058753856,-0.0106719,-0.0050706,-0.0779333,-0.0641367,0.0616937,-0.343927,-1.12528,0.202996,-2.04765,0.709833,0.0158605,-0.002926,-0.704185,-0.00735736,-0.0104812,-0.134254,0.00397745,-0.00811596,-0.0844808,0,0,0,0.00110208,-0.00156264,0.00946743,1
1695219469070115360,-0.0106719,-0.0050706,-0.0779333,-0.0641367,0.0616937,-0.343927,-1.12528,0.202996,-2.04765,0.709833,0.0158605,-0.002926,-0.704185,-0.00735736,-0.0104812,-0.134254,0.00397745,-0.00811596,-0.0844808,0,0,0,0.00110208,-0.00156264,0.00946743,1
1695219469078626272,-0.0106719,-0.0050706,-0.0779333,-0.0641367,0.0616937,-0.343927,-1.12528,0.202996,-2.04765,0.709833,0.0158605,-0.002926,-0.704185,-0.00735736,-0.0104812,-0.134254,0.00397745,-0.00811596,-0.0844808,0,0,0,0.00110208,-0.00156264,0.00946743,1
1695219469088879264,-0.014524,-0.00101846,-0.0982914,-0.0899844,0.09591,-0.436305,-0.737847,0.649894,-1.31374,0.710679,0.0192174,0.000871201,-0.703253,-0.00735736,-0.0104812,-0.134254,0.00859996,-0.0141942,-0.0539437,0,0,0,0.00110208,-0.00156264,0.00946743,1
1695219469098619488,-0.014524,-0.00101846,-0.0982914,-0.0899844,0.09591,-0.436305,-0.737847,0.649894,-1.31374,0.710679,0.0192174,0.000871201,-0.703253,-0.00735736,-0.0104812,-0.174254,0.00859996,-0.0141942,-0.113944,0,0,0,0.00189325,-0.00244626,0.0140703,1
1695219469108667744,-0.014524,-0.00101846,-0.0982914,-0.0899844,0.09591,-0.436305,-0.737847,0.649894,-1.31374,0.710679,0.0192174,0.000871201,-0.703253,-0.00735736,-0.0104812,-0.174254,0.00859996,-0.0141942,-0.113944,0,0,0,0.00189325,-0.00244626,0.0140703,1
1695219469118712192,-0.014524,-0.00101846,-0.0982914,-0.0899844,0.09591,-0.436305,-0.737847,0.649894,-1.31374,0.710679,0.0192174,0.000871201,-0.703253,-0.00735736,-0.0104812,-0.174254,0.00859996,-0.0141942,-0.113944,0,0,0,0.00189325,-0.00244626,0.0140703,1
1695219469129114816,-0.0186809,0.00370468,-0.118282,-0.107449,0.132063,-0.499437,0.573058,1.45379,-0.191626,0.711334,0.0157925,0.00146377,-0.702675,-0.00735736,-0.0104812,-0.174254,0.0135883,-0.0212789,-0.0839583,0,0,0,0.00189325,-0.00244626,0.0140703,1
1695219469138656672,-0.0186809,0.00370468,-0.118282,-0.107449,0.132063,-0.499437,0.573058,1.45379,-0.191626,0.711334,0.0157925,0.00146377,-0.702675,-0.00735736,-0.0104812,-0.174254,0.0135883,-0.0212789,-0.0839583,0,0,0,0.00284265,-0.00364906,0.0189587,1
1695219469148621024,-0.0186809,0.00370468,-0.118282,-0.107449,0.132063,-0.499437,0.573058,1.45379,-0.191626,0.711334,0.0157925,0.00146377,-0.702675,-0.00735736,-0.0104812,-0.214254,0.0135883,-0.0212789,-0.143958,0,0,0,0.00284265,-0.00364906,0.0189587,1
1695219469158716064,-0.0186809,0.00370468,-0.118282,-0.107449,0.132063,-0.499437,0.573058,1.45379,-0.191626,0.711334,0.0157925,0.00146377,-0.702675,-0.00735736,-0.0104812,-0.214254,0.0135883,-0.0212789,-0.143958,0,0,0,0.00284265,-0.00364906,0.0189587,1
1695219469168713984,-0.0186809,0.00370468,-0.118282,-0.107449,0.132063,-0.499437,0.573058,1.45379,-0.191626,0.711334,0.0157925,0.00146377,-0.702675,-0.00735736,-0.0104812,-0.214254,0.0135883,-0.0212789,-0.143958,0,0,0,0.00284265,-0.00364906,0.0189587,1
1695219469179231808,-0.0238376,0.00966753,-0.140806,-0.136468,0.151652,-0.539652,-0.311954,0.777542,-1.2615,0.711468,0.0158101,-0.000746513,-0.702541,-0.00735736,-0.0104812,-0.214254,0.0197763,-0.0302231,-0.110171,0,0,0,0.00284265,-0.00364906,0.0189587,1
1695219469188630080,-0.0238376,0.00966753,-0.140806,-0.136468,0.151652,-0.539652,-0.311954,0.777542,-1.2615,0.711468,0.0158101,-0.000746513,-0.702541,-0.00735736,-0.0104812,-0.214254,0.0197763,-0.0302231,-0.110171,0,0,0,0.00419022,-0.00521768,0.024515,1
1695219469199521920,-0.0238376,0.00966753,-0.140806,-0.136468,0.151652,-0.539652,-0.311954,0.777542,-1.2615,0.711468,0.0158101,-0.000746513,-0.702541,-0.00735736,-0.0104812,-0.254254,0.0197763,-0.0302231,-0.170171,0,0,0,0.00419022,-0.00521768,0.024515,1
1695219469208837728,-0.0238376,0.00966753,-0.140806,-0.136468,0.151652,-0.539652,-0.311954,0.777542,-1.2615,0.711468,0.0158101,-0.000746513,-0.702541,-0.00735736,-0.0104812,-0.254254,0.0197763,-0.0302231,-0.170171,0,0,0,0.00419022,-0.00521768,0.024515,1
1695219469218805536,-0.0303805,0.0167299,-0.165945,-0.162646,0.176658,-0.573059,-1.0433,0.736364,-1.08119,0.711833,0.0116937,-0.0039946,-0.70224,-0.00735736,-0.0104812,-0.254254,0.0276278,-0.0408168,-0.132463,0,0,0,0.00419022,-0.00521768,0.024515,1
1695219469228657472,-0.0303805,0.0167299,-0.165945,-0.162646,0.176658,-0.573059,-1.0433,0.736364,-1.08119,0.711833,0.0116937,-0.0039946,-0.70224,-0.00735736,-0.0104812,-0.254254,0.0276278,-0.0408168,-0.132463,0,0,0,0.00573155,-0.00697936,0.0298686,1
1695219469238781888,-0.0303805,0.0167299,-0.165945,-0.162646,0.176658,-0.573059,-1.0433,0.736364,-1.08119,0.711833,0.0116937,-0.0039946,-0.70224,-0.00735736,-0.0104812,-0.254254,0.0276278,-0.0408168,-0.132463,0,0,0,0.00573155,-0.00697936,0.0298686,1
1695219469248784992,-0.0303805,0.0167299,-0.165945,-0.162646,0.176658,-0.573059,-1.0433,0.736364,-1.08119,0.711833,0.0116937,-0.0039946,-0.70224,-0.00735736,-0.0104812,-0.294254,0.0276278,-0.0408168,-0.192463,0,0,0,0.00573155,-0.00697936,0.0298686,1
1695219469258603744,-0.0303805,0.0167299,-0.165945,-0.162646,0.176658,-0.573059,-1.0433,0.736364,-1.08119,0.711833,0.0116937,-0.0039946,-0.70224,-0.00735736,-0.0104812,-0.294254,0.0276278,-0.0408168,-0.192463,0,0,0,0.00573155,-0.00697936,0.0298686,1
1695219469269493472,-0.0399655,0.0270577,-0.200729,-0.18788,0.197808,-0.626299,-0.504652,0.352536,-1.08297,0.712082,0.0076562,-0.0118834,-0.701954,-0.00735736,-0.0104812,-0.294254,0.0391297,-0.0563084,-0.140288,0,0,0,0.00573155,-0.00697936,0.0298686,1
1695219469278635424,-0.0399655,0.0270577,-0.200729,-0.18788,0.197808,-0.626299,-0.504652,0.352536,-1.08297,0.712082,0.0076562,-0.0118834,-0.701954,-0.00735736,-0.0104812,-0.294254,0.0391297,-0.0563084,-0.140288,0,0,0,0.00820608,-0.00974937,0.0378153,1
1695219469288819776,-0.0399655,0.0270577,-0.200729,-0.18788,0.197808,-0.626299,-0.504652,0.352536,-1.08297,0.712082,0.0076562,-0.0118834,-0.701954,-0.00735736,-0.0104812,-0.294254,0.0391297,-0.0563084,-0.140288,0,0,0,0.00820608,-0.00974937,0.0378153,1
1695219469299678656,-0.0399655,0.0270577,-0.200729,-0.18788,0.197808,-0.626299,-0.504652,0.352536,-1.08297,0.712082,0.0076562,-0.0118834,-0.701954,-0.00735736,-0.0104812,-0.334254,0.0391297,-0.0563084,-0.200288,0,0,0,0.00820608,-0.00974937,0.0378153,1
1695219469309084064,-0.0511259,0.0388974,-0.239366,-0.205411,0.211754,-0.666313,-0.228045,-0.0164653,-0.736812,0.711805,0.00644483,-0.017422,-0.702132,-0.00735736,-0.0104812,-0.334254,0.0525222,-0.0740679,-0.142331,0,0,0,0.00820608,-0.00974937,0.0378153,1
1695219469318614144,-0.0511259,0.0388974,-0.239366,-0.205411,0.211754,-0.666313,-0.228045,-0.0164653,-0.736812,0.711805,0.00644483,-0.017422,-0.702132,-0.00735736,-0.0104812,-0.334254,0.0525222,-0.0740679,-0.142331,0,0,0,0.0104936,-0.0122843,0.0447859,1
1695219469328590112,-0.0511259,0.0388974,-0.239366,-0.205411,0.211754,-0.666313,-0.228045,-0.0164653,-0.736812,0.711805,0.00644483,-0.017422,-0.702132,-0.00735736,-0.0104812,-0.334254,0.0525222,-0.0740679,-0.142331,0,0,0,0.0104936,-0.0122843,0.0447859,1
1695219469339365632,-0.0511259,0.0388974,-0.239366,-0.205411,0.211754,-0.666313,-0.228045,-0.0164653,-0.736812,0.711805,0.00644483,-0.017422,-0.702132,-0.00735736,-0.0104812,-0.334254,0.0525222,-0.0740679,-0.142331,0,0,0,0.0104936,-0.0122843,0.0447859,1
1695219469348666048,-0.060822,0.04881,-0.272306,-0.214905,0.20079,-0.685118,-0.353557,-0.296274,-0.30991,0.711342,0.00465848,-0.0227723,-0.702461,-0.00735736,-0.0104812,-0.374254,0.0641576,-0.0889369,-0.152921,0,0,0,0.0104936,-0.0122843,0.0447859,1
1695219469358765504,-0.060822,0.04881,-0.272306,-0.214905,0.20079,-0.685118,-0.353557,-0.296274,-0.30991,0.711342,0.00465848,-0.0227723,-0.702461,-0.00735736,-0.0104812,-0.374254,0.0641576,-0.0889369,-0.152921,0,0,0,0.012751,-0.0146279,0.0512435,1
1695219469369033760,-0.0632984,0.0511571,-0.280666,-0.213057,0.186751,-0.682961,-0.353557,-0.296274,-0.30991,0.711342,0.00465848,-0.0227723,-0.702461,-0.00735736,-0.0104812,-0.374254,0.0671293,-0.0924576,-0.140382,0,0,0,0.012751,-0.0146279,0.0512435,1
1695219469378725600,-0.0657612,0.0533348,-0.288972,-0.212863,0.169407,-0.679496,0.329542,-1.59072,0.389029,0.712052,0.00468207,-0.0216751,-0.701777,-0.00735736,-0.0104812,-0.374254,0.0700846,-0.0957241,-0.127923,0,0,0,0.0138423,-0.0157154,0.0544134,1
1695219469389228640,-0.0657612,0.0533348,-0.288972,-0.212863,0.169407,-0.679496,0.329542,-1.59072,0.389029,0.712052,0.00468207,-0.0216751,-0.701777,-0.00735736,-0.0104812,-0.374254,0.0700846,-0.0957241,-0.127923,0,0,0,0.0138423,-0.0157154,0.0544134,1
1695219469398652832,-0.0657612,0.0533348,-0.288972,-0.212863,0.169407,-0.679496,0.329542,-1.59072,0.389029,0.712052,0.00468207,-0.0216751,-0.701777,-0.00735736,-0.0104812,-0.414254,0.0700846,-0.0957241,-0.187923,0,0,0,0.0138423,-0.0157154,0.0544134,1
1695219469408650592,-0.0657612,0.0533348,-0.288972,-0.212863,0.169407,-0.679496,0.329542,-1.59072,0.389029,0.712052,0.00468207,-0.0216751,-0.701777,-0.00735736,-0.0104812,-0.414254,0.0700846,-0.0957241,-0.187923,0,0,0,0.0138423,-0.0157154,0.0544134,1
1695219469419289024,-0.0757493,0.0603954,-0.322307,-0.218016,0.114188,-0.679789,-0.0950819,-1.46798,0.00649269,0.71546,0.00518728,-0.0171133,-0.698425,-0.00735736,-0.0104812,-0.414254,0.0820703,-0.106315,-0.13792,0,0,0,0.0138423,-0.0157154,0.0544134,1
1695219469428707840,-0.0757493,0.0603954,-0.322307,-0.218016,0.114188,-0.679789,-0.0950819,-1.46798,0.00649269,0.71546,0.00518728,-0.0171133,-0.698425,-0.00735736,-0.0104812,-0.414254,0.0820703,-0.106315,-0.13792,0,0,0,0.0162094,-0.0174547,0.0608247,1
1695219469439115776,-0.0757493,0.0603954,-0.322307,-0.218016,0.114188,-0.679789,-0.0950819,-1.46798,0.00649269,0.71546,0.00518728,-0.0171133,-0.698425,-0.00735736,-0.0104812,-0.414254,0.0820703,-0.106315,-0.13792,0,0,0,0.0162094,-0.0174547,0.0608247,1
1695219469448620896,-0.0757493,0.0603954,-0.322307,-0.218016,0.114188,-0.679789,-0.0950819,-1.46798,0.00649269,0.71546,0.00518728,-0.0171133,-0.698425,-0.00735736,-0.0104812,-0.454254,0.0820703,-0.106315,-0.19792,0,0,0,0.0162094,-0.0174547,0.0608247,1
1695219469458677408,-0.0862339,0.0664892,-0.355943,-0.238444,0.10901,-0.691013,-0.734348,-0.12526,-0.255786,0.717122,0.00354746,-0.0232769,-0.69655,-0.00735736,-0.0104812,-0.454254,0.0946518,-0.115456,-0.147467,0,0,0,0.0162094,-0.0174547,0.0608247,1
1695219469468631872,-0.0862339,0.0664892,-0.355943,-0.238444,0.10901,-0.691013,-0.734348,-0.12526,-0.255786,0.717122,0.00354746,-0.0232769,-0.69655,-0.00735736,-0.0104812,-0.454254,0.0946518,-0.115456,-0.147467,0,0,0,0.0188643,-0.0192438,0.0673232,1
